------------------------------------------------------
|  Number  |      |  Monthly     |  Yearly Balance  **|
| Of Years |      |Contributions |4.5   % |5     .0% |5.5   % |
|          |      |              |      |      |      |

------------------------------------------------------
|          |      |              |      |      |      |
|1         |2017  |100.00|100.00 |100.00|100.00|
|          |      |              |      |      |      |
|2         |2017  |110.00|214.50 |210.42|215.50|
|          |      |              |      |      |      |
|3         |2017  |120.00|344.15 |331.29|347.35|
|          |      |              |      |      |      |
|4         |2017  |130.00|489.64 |462.67|496.46|
|          |      |              |      |      |      |
|5         |2017  |140.00|651.67 |604.60|663.76|
|          |      |              |      |      |      |
|6         |2017  |150.00|831.00 |757.12|850.27|
|          |      |              |      |      |      |
|7         |2017  |160.00|1028.39 |920.28|1057.03|
|          |      |              |      |      |      |
|8         |2017  |170.00|1244.67 |1094.11|1285.17|
|          |      |              |      |      |      |
|9         |2017  |180.00|1480.68 |1278.67|1535.85|
|          |      |              |      |      |      |
|10        |2017  |190.00|1737.31 |1474.00|1810.33|
|          |      |              |      |      |      |
|11        |2017  |200.00|2015.49 |1680.14|2109.89|
|          |      |              |      |      |      |
|12        |2017  |210.00|2316.19 |1897.14|2435.94|
|          |      |              |      |      |      |
|13        |2017  |220.00|2640.42 |2125.04|2789.92|
|          |      |              |      |      |      |
|14        |2017  |230.00|2989.23 |2363.90|3173.36|
|          |      |              |      |      |      |
|15        |2017  |240.00|3363.75 |2613.75|3587.90|
|          |      |              |      |      |      |
|16        |2017  |250.00|3765.12 |2874.64|4035.23|
|          |      |              |      |      |      |
|17        |2017  |260.00|4194.55 |3146.62|4517.17|
|          |      |              |      |      |      |
|18        |2017  |270.00|4653.30 |3429.73|5035.61|
|          |      |              |      |      |      |
|19        |2017  |280.00|5142.70 |3724.02|5592.57|
|          |      |              |      |      |      |
|20        |2017  |290.00|5664.12 |4029.53|6190.16|
|          |      |              |      |      |      |
|21        |2017  |300.00|6219.01 |4346.32|6830.62|
|          |      |              |      |      |      |
|22        |2017  |310.00|6808.86 |4674.43|7516.30|
|          |      |              |      |      |      |
|23        |2017  |320.00|7435.26 |5013.91|8249.70|
|          |      |              |      |      |      |
|24        |2017  |330.00|8099.85 |5364.80|9033.43|
|          |      |              |      |      |      |
|25        |2017  |340.00|8804.34 |5727.15|9870.27|
|          |      |              |      |      |      |
|26        |2017  |350.00|9550.54 |6101.02|10763.13|
|          |      |              |      |      |      |
|27        |2017  |360.00|10340.31 |6486.44|11715.10|
|          |      |              |      |      |      |
|28        |2017  |370.00|11175.62 |6883.47|12729.43|
|          |      |              |      |      |      |
|29        |2017  |380.00|12058.53 |7292.15|13809.55|
|          |      |              |      |      |      |
|30        |2017  |390.00|12991.16 |7712.53|14959.08|
|          |      |              |      |      |      |
|31        |2017  |400.00|13975.76 |8144.67|16181.83|
|          |      |              |      |      |      |
|32        |2017  |410.00|15014.67 |8588.60|17481.82|
|          |      |              |      |      |      |
|33        |2017  |420.00|16110.33 |9044.39|18863.32|
|          |      |              |      |      |      |
|34        |2017  |430.00|17265.29 |9512.07|20330.81|
|          |      |              |      |      |      |
|35        |2017  |440.00|18482.23 |9991.71|21889.00|
|          |      |              |      |      |      |
